"Category","Product type","SKU","Product description","Color","Size","Size (cm)","Size (inches)","Finish","Frame","Wrap","Edge","Gender","Style","Brand","Glaze","Mount","Mount color","Paper type","Substrate weight","Product price","Product currency","Source country","Destination country","Shipping method","Shipping price","Plus one shipping price","Shipping currency","Minimum shipping (days)","Maximum shipping (days)","Tracked shipping"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-110","110 piece jigsaw puzzle, in metal tin with image on front , (250x200mm)",,"110 pieces",,,,,,,,,,,,,,,"   12.00","GBP","GB","GB","Budget","    3.95","    0.25","GBP",2,3,"Not Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-110","110 piece jigsaw puzzle, in metal tin with image on front , (250x200mm)",,"110 pieces",,,,,,,,,,,,,,,"   12.00","GBP","GB","GB","Express","    6.25","    0.00","GBP",1,2,"Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-110","110 piece jigsaw puzzle, in metal tin with image on front , (250x200mm)",,"110 pieces",,,,,,,,,,,,,,,"   12.00","GBP","GB","GB","Overnight","    9.95","    0.00","GBP",1,1,"Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-1000","1000 piece jigsaw puzzle, in metal tin with image on front (765x525mm)",,"1000 pieces",,,,,,,,,,,,,,,"   20.00","GBP","GB","GB","Budget","    3.95","    0.25","GBP",2,3,"Not Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-1000","1000 piece jigsaw puzzle, in metal tin with image on front (765x525mm)",,"1000 pieces",,,,,,,,,,,,,,,"   20.00","GBP","GB","GB","Express","    6.25","    0.00","GBP",1,2,"Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-1000","1000 piece jigsaw puzzle, in metal tin with image on front (765x525mm)",,"1000 pieces",,,,,,,,,,,,,,,"   20.00","GBP","GB","GB","Overnight","    9.95","    0.00","GBP",1,1,"Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-1000","1000 piece jigsaw puzzle, in metal tin with image on front (765x525mm)",,"1000 pieces",,,,,,,,,,,,,,,"   20.00","GBP","GB","GB","Standard","    5.25","    0.25","GBP",2,3,"Not Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-110","110 piece jigsaw puzzle, in metal tin with image on front , (250x200mm)",,"110 pieces",,,,,,,,,,,,,,,"   12.00","GBP","GB","GB","Standard","    5.25","    0.25","GBP",2,3,"Not Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-252","252 piece jigsaw puzzle, in metal tin with image on front , (375x285mm)",,"252 pieces",,,,,,,,,,,,,,,"   13.00","GBP","GB","GB","Budget","    3.95","    0.25","GBP",2,3,"Not Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-252","252 piece jigsaw puzzle, in metal tin with image on front , (375x285mm)",,"252 pieces",,,,,,,,,,,,,,,"   13.00","GBP","GB","GB","Express","    6.25","    0.00","GBP",1,2,"Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-252","252 piece jigsaw puzzle, in metal tin with image on front , (375x285mm)",,"252 pieces",,,,,,,,,,,,,,,"   13.00","GBP","GB","GB","Overnight","    9.95","    0.00","GBP",1,1,"Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-252","252 piece jigsaw puzzle, in metal tin with image on front , (375x285mm)",,"252 pieces",,,,,,,,,,,,,,,"   13.00","GBP","GB","GB","Standard","    5.25","    0.25","GBP",2,3,"Not Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-30","30 piece jigsaw puzzle, in metal tin with image on front , (250x200mm)",,"30 pieces",,,,,,,,,,,,,,,"   10.00","GBP","GB","GB","Budget","    3.95","    0.25","GBP",2,3,"Not Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-30","30 piece jigsaw puzzle, in metal tin with image on front , (250x200mm)",,"30 pieces",,,,,,,,,,,,,,,"   10.00","GBP","GB","GB","Express","    6.25","    0.00","GBP",1,2,"Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-30","30 piece jigsaw puzzle, in metal tin with image on front , (250x200mm)",,"30 pieces",,,,,,,,,,,,,,,"   10.00","GBP","GB","GB","Overnight","    9.95","    0.00","GBP",1,1,"Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-30","30 piece jigsaw puzzle, in metal tin with image on front , (250x200mm)",,"30 pieces",,,,,,,,,,,,,,,"   10.00","GBP","GB","GB","Standard","    5.25","    0.25","GBP",2,3,"Not Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-500","500 piece jigsaw puzzle, in metal tin with image on front , (530x390mm)",,"500 pieces",,,,,,,,,,,,,,,"   16.00","GBP","GB","GB","Standard","    5.25","    0.25","GBP",2,3,"Not Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-500","500 piece jigsaw puzzle, in metal tin with image on front , (530x390mm)",,"500 pieces",,,,,,,,,,,,,,,"   16.00","GBP","GB","GB","Budget","    3.95","    0.25","GBP",2,3,"Not Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-500","500 piece jigsaw puzzle, in metal tin with image on front , (530x390mm)",,"500 pieces",,,,,,,,,,,,,,,"   16.00","GBP","GB","GB","Express","    6.25","    0.00","GBP",1,2,"Tracked"
"Sports & games","Jigsaws","JIGSAW-PUZZLE-500","500 piece jigsaw puzzle, in metal tin with image on front , (530x390mm)",,"500 pieces",,,,,,,,,,,,,,,"   16.00","GBP","GB","GB","Overnight","    9.95","    0.00","GBP",1,1,"Tracked"
